Cable Name,IL_10MHz,IL_50MHz,IL_100MHz,IL_500MHz,IL_1000MHz,IL_5000MHz,DataRate(Mbps),preW,mainW,postW,dpre,dpost,Rdrv,eyeSNR
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.4,0.6,700,2.134187
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.4,0.6,1100,2.020737
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.4,0.8,300,2.499062
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.4,0.8,700,2.162049
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.4,0.8,1100,1.967795
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.6,0.2,300,2.524065
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.6,0.2,700,2.07104
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.6,0.2,1100,2.249722
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.6,0.4,300,2.532728
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.6,0.4,700,2.285288
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.6,0.4,1100,2.372968
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.6,0.6,300,2.459043
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.6,0.6,700,2.177395
