Cable_Name,IL_10MHz,IL_50MHz,IL_100MHz,IL_500MHz,IL_1000MHz,IL_5000MHz,DataRate(Mbps),preW,mainW,postW,dpre,dpost,Rdrv,eyeSNR
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,3,0,0.2,0.2,1100,1.303909
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,5,0.6,0.2,700,1.302928
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,0,0.8,0.2,300,1.301707
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,0,0.2,0.6,300,1.301289
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,3,2,0.4,0.8,300,1.299936
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,3,5,0.4,0.6,700,1.299888
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,5,0,0.6,0.8,300,1.299637
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,3,0,0.4,0.6,300,1.2982
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,3,0,0.6,0.4,700,1.29784
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,3,7,0.4,0.8,700,1.297419
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,7,0.4,0.8,700,1.297189
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,2,0.8,0.8,700,1.296581
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.8,0.8,300,1.296324
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,5,0,0.2,0.8,300,1.295705
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,5,0,0.6,0.4,300,1.295518
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,5,0,0.6,0.2,300,1.29551
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,5,0.2,0.8,1100,1.295358
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,5,2,0.6,0.2,300,1.29434
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.8,0.2,300,1.294239
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.4,0.6,300,1.293973
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,3,0,0.4,0.4,700,1.293854
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,5,0,0.6,0.4,700,1.293851
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,3,0,0.4,0.2,300,1.293705
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,7,0.4,0.6,700,1.293311
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.2,0.2,1100,1.293085
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,2,0.8,0.2,1100,1.292758
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,7,0,0.6,0.6,300,1.292727
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.6,0.6,300,1.292609
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,7,0.6,0.6,1100,1.291853
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.2,0.2,300,1.291657
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.8,0.6,300,1.291158
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,3,2,0.8,0.8,300,1.290926
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,5,0.8,0.6,300,1.290285
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.8,0.4,1100,1.290121
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,3,0,0.4,0.4,1100,1.289918
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,5,0.2,0.2,700,1.289846
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,2,0.2,0.8,700,1.289734
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,5,0,0.6,0.6,700,1.289595
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,5,0,0.8,0.8,300,1.289357
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.2,0.4,700,1.289066
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,0,0.8,0.8,700,1.288197
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,7,0.2,0.4,1100,1.287742
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,7,0.4,0.2,700,1.287313
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,0,0.8,0.4,1100,1.287293
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,5,0.2,0.2,300,1.287126
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,7,0.2,0.2,1100,1.287031
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.8,0.4,700,1.287011
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.8,0.2,1100,1.286166
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,5,0,0.8,0.4,300,1.285945
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,7,0.8,0.4,1100,1.285566
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.8,0.6,1100,1.285533
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,5,0,0.8,0.2,300,1.285475
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,7,0.4,0.4,700,1.28522
